"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","2.079"
"00:16","","","2.269"
"00:32","","","2.162"
"04:48","5.115","",""
"04:56","4.985","",""
"05:12","5.621","1.167",""
